CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0077-46,14-001,quiche,santa cruz del quiche,instituto adolfo v hall,"kilometro 161 entrada a santa cruz del quiche, antigua zona militar",77551548,jose oscar tipaz velasquez,coronel de infnteria dem. marvin juan carlos garcia ponce,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),quiche
14-01-0079-46,14-036,quiche,santa cruz del quiche,colegio evangelico metodista utatlan,"4a calle y 6a-12, zona 5",77551551,gonzalo ventura lux,luis humberto echeverria gil,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),quiche
14-01-0080-46,14-036,quiche,santa cruz del quiche,liceo mixto 'quiche',2av. 6-27 zona 5,77551705,gonzalo ventura lux,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),quiche
14-01-0085-46,14-001,quiche,santa cruz del quiche,instituto normal mixto juan de leon,12 calle 0-36 zona 5,77553814,jose oscar tipaz velasquez,astrid mirtala valdez gomez de rivas,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),quiche
14-01-0090-46,14-036,quiche,santa cruz del quiche,"colegio mixto bilingue intercultural ""q ij""",11a. calle 06-03 zona 1,77550476,gonzalo ventura lux,tomas alvarez ortiz,diversificado,privado,urbana,abierta,bilingue,doble,fin de semana,quiche
14-01-0108-46,14-036,quiche,santa cruz del quiche,colegio tecnico avanzado,4a. avenida 20-174 zona 4,77554695,gonzalo ventura lux,jacqueline argentina solares,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),quiche
14-01-0110-46,14-036,quiche,santa cruz del quiche,liceo tecnologico de occidente la preparatoria,9a. avenida entre 4a. y 5a. calle zona 2,77563645,gonzalo ventura lux,eberth antulio rodas estrada,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,quiche
14-01-0112-46,14-001,quiche,santa cruz del quiche,instituto nacional de educacion diversificada,"20 calle final zona 4, colonia los celajes",77554630,jose oscar tipaz velasquez,timotea viviana reynoso tavico,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),quiche
14-01-0115-46,14-001,quiche,santa cruz del quiche,instituto normal mixto juan de leon,12 calle 0-36 zona 5,77656620,jose oscar tipaz velasquez,jorge humberto motta cano,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),quiche
14-01-0163-46,14-036,quiche,santa cruz del quiche,"colegio evangelico metodista ""john wesley""",6ta. avenida 00-002 de la zona 1,77563692,gonzalo ventura lux,karin rosalva solorzano par de mendez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),quiche
14-01-0166-46,14-036,quiche,santa cruz del quiche,liceo mixto quiche,2a. avenida 6-27 zona 5,77551705,gonzalo ventura lux,silvia emiliana barrios barrios de mogollon,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),quiche
14-01-0167-46,14-036,quiche,santa cruz del quiche,colegio multieducativo la reforma,"3a. avenida 4-35, zona 1",77563633,gonzalo ventura lux,avelino armando leon zacarias,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,quiche
14-01-0181-46,14-036,quiche,santa cruz del quiche,instituto privado mixto ciencia y cultura,"1a. calle 13-41, zona 2",77563487,gonzalo ventura lux,iberto de leon orellana,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,quiche
14-01-0183-46,14-036,quiche,santa cruz del quiche,colegio cientifico integral einstein,"14 avenida 2-38, zona 3",49854279,gonzalo ventura lux,carlos enrique chayanny delgado,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),quiche
14-01-0186-46,14-036,quiche,santa cruz del quiche,colegio mixto bilingue intercultural q ij,11 calle 6-03 zona 1,77550476,gonzalo ventura lux,tomas alvarez ortiz,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,quiche
14-01-0189-46,14-036,quiche,santa cruz del quiche,colegio mixto bilingue intercultural q ij,11 calle 6-03 zona 1,77550476,gonzalo ventura lux,tomas alvarez ortiz,diversificado,privado,urbana,abierta,bilingue,doble,a distancia,quiche
14-01-0193-46,14-036,quiche,santa cruz del quiche,liceo tecnologico de occidente la preparatoria,"4a. calle y 9a. avenida, zona 2",77563645,gonzalo ventura lux,dina guadalupe villatoro loarca,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,diario(regular),quiche
14-01-0195-46,14-036,quiche,santa cruz del quiche,colegio nuestra senora del rosario,santa cruz del quiche,77552429,gonzalo ventura lux,agustina irma camacho reyna,diversificado,privado,urbana,cerrada temporalmente,bilingue,matutina,diario(regular),quiche
14-01-0199-46,14-036,quiche,santa cruz del quiche,colegio nuestra senora del rosario,santa cruz del quiche,77552429,gonzalo ventura lux,esperanza sanchez cortez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),quiche
14-01-0210-46,14-036,quiche,santa cruz del quiche,"colegio ejecutivo pre-universitario en computacion ""classe""",0 av. 8-24 a zona 6,77563714,gonzalo ventura lux,ervin waldermar velasquez baten,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,quiche
14-01-0227-46,14-036,quiche,santa cruz del quiche,"liceo tecnologico de occidente la ""preparatoria""",9a. avenida 4-65 zona 2,77563645,gonzalo ventura lux,dina guadalupe villatoto loarca,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,quiche
14-01-0230-46,14-036,quiche,santa cruz del quiche,colegio san francisco javier de quiche,kilometro 166.9 aldea el carmen chitatul,79638520,gonzalo ventura lux,glenda faviola vicente zapeta,diversificado,privado,rural,abierta,monolingue,matutina,diario(regular),quiche
